time_s,source,accepted,diversity_score,objective,pool_best_obj
7.03301,worker_0,1,0.103896,29007.4,26011.1
7.04916,worker_0,0,0.0623377,28971.4,26011.1
7.05029,hgs_child,1,0.52987,37416.9,26011.1
7.0584,worker_0,1,0.135065,28962.2,26011.1
7.15176,hgs_child,1,0.337662,37486.1,26011.1
7.1645,worker_2,1,0.316883,35956.1,26011.1
7.22457,worker_0,1,0.298701,28891.1,26011.1
7.25279,hgs_child,1,0.6,38853,26011.1
7.28267,worker_0,0,0.012987,28889.3,26011.1
7.35434,hgs_child,1,0.376623,38850.4,26011.1
7.37131,worker_2,1,0.319481,35947.4,26011.1
7.49552,hgs_child,1,0.677922,33471.2,26011.1
7.59668,hgs_child,1,0.38961,38856,26011.1
7.6442,worker_2,1,0.316883,35939.9,26011.1
7.69764,hgs_child,1,0.316883,32154.8,26011.1
7.71452,worker_0,1,0.441558,28886.6,26011.1
7.72233,worker_0,0,0.0155844,28878.2,26011.1
7.7303,worker_0,0,0.0493506,28832.9,26011.1
7.73774,worker_0,0,0.0987013,28730.6,26011.1
7.79312,worker_0,1,0.275325,28675.3,26011.1
7.79866,hgs_child,1,0.576623,42941.4,26011.1
7.84817,worker_2,1,0.309091,35926.5,26011.1
7.89962,hgs_child,1,0.192208,28164.1,26011.1
7.95551,worker_0,1,0.376623,28397.7,26011.1
7.9862,worker_0,0,0.0935065,28320.2,26011.1
7.99451,worker_0,1,0.116883,28310.3,26011.1
8.0006,hgs_child,1,0.387013,35443.9,26011.1
8.04868,worker_0,1,0.106494,28212.3,26011.1
8.05217,worker_2,1,0.314286,35897.1,26011.1
8.06392,worker_0,0,0.0727273,28196.3,26011.1
8.07974,worker_0,0,0.0909091,28153.7,26011.1
8.10163,hgs_child,1,0.61039,37451.4,26011.1
8.11121,worker_0,1,0.187013,28046,26011.1
8.1185,worker_0,0,0.0935065,27976.3,26011.1
8.20262,hgs_child,1,0.371429,37740.6,26011.1
8.25908,worker_2,1,0.314286,35882.9,26011.1
8.30362,hgs_child,1,0.381818,32198.8,26011.1
8.37018,worker_0,1,0.381818,27897,26011.1
